model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
1	gpa_ssDNA_30nt_seed5_model_0	376	0.694	513	5.573	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	7	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s7-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	381	0.819	513	5.171	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	7	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s7-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	380	0.823	513	5.61	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	7	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s7-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	395	0.787	513	5.124	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	7	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s7-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	434	0.82	513	4.782	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	8	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s8-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	405	0.878	513	2.711	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	8	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s8-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	441	0.878	513	5.554	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	8	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s8-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	428	0.821	513	5.671	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	8	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s8-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	444	0.776	513	5.072	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	8	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s8-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	419	0.837	513	4.879	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	9	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s9-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	405	0.9	513	3.64	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	9	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s9-m1	A-dsDNA
