test_type	dataset	group	exposure_var	outcome_var	exposure_focus	outcome_focus	n_total	a_exposed_outcome	b_exposed_no_outcome	c_unexp_outcome	d_unexp_no_outcome	odds_ratio	conf_low	conf_high	log_or_ln	log_conf_low_ln	log_conf_high_ln	log_or_log10	log_conf_low_log10	log_conf_high_log10	p_value	method	subset	exposure_set	p_adj	significant	odds_ratio_plot
fisher_odds_ratio	NA	J	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	713	161	48	358	146	1.3673148837583795	0.9276756052521616	2.0377538631530503	0.3128488777840592	-0.07507317061329115	0.711848153784057	0.13586854129124173	-0.03260386373633371	0.30915172514143335	0.11600423329859008	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	0.1556154349127428	FALSE	1.3673148837583795
fisher_odds_ratio	NA	J	residue_structural_group_predicted	mutation_category_FDR_lethal_1aa	Unknown structure	Detrimental,Lethal	713	9	20	510	174	0.15402119942109152	0.06057475959772039	0.3617693003629511	-1.8706650274640642	-2.8038769809589805	-1.0167485621281651	-0.8124194989170381	-1.2177083007660343	-0.4415682900153277	1.9964459702990396e-6	Fisher's Exact Test for Count Data	single_orf	residue_structural_group_predicted	4.3921811346578875e-6	TRUE	0.15402119942109152
fisher_odds_ratio	NA	A	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	7191	2007	352	2623	2209	4.800764510283346	4.225477653229624	5.464627065071652	1.5687751782069486	1.4411323084378591	1.6982958786909759	0.6813104032420683	0.6258758092470573	0.7375605287545252	5.180045417754999e-157	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	7.122562449413159e-156	TRUE	4.800764510283346
fisher_odds_ratio	NA	A	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Surface	Detrimental,Lethal	7191	2623	2209	2007	352	0.2083001567475298	0.18299510434878874	0.23665963520968467	-1.5687751782069494	-1.6982958786909736	-1.4411323084378618	-0.6813104032420687	-0.7375605287545243	-0.6258758092470585	5.180045417755025e-157	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	7.122562449413159e-156	TRUE	0.2083001567475298
fisher_odds_ratio	NA	B	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	135	10	10	49	66	1.343918037720615	0.46204911699970125	3.912594258719509	0.2955892564025398	-0.772084079699148	1.364200647261569	0.12837278296550847	-0.3353118553786905	0.5924648133145439	0.6276909665231932	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	0.7045510848729719	FALSE	1.343918037720615
fisher_odds_ratio	NA	B	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Surface	Detrimental,Lethal	135	49	66	10	10	0.7440929966950022	0.255584896842146	2.164272072401009	-0.2955892564025404	-1.3642006472615706	0.7720840796991478	-0.12837278296550875	-0.5924648133145446	0.3353118553786904	0.6276909665231932	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	0.7045510848729719	FALSE	0.7440929966950022
fisher_odds_ratio	NA	D	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	1245	262	4	869	110	8.283321308322515	3.099060920498251	31.237668002470816	2.114244012161907	1.1310991367273497	3.4416246743769663	0.9182045078789077	0.49123011356621976	1.4946786048639924	2.9076126090563958e-8	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	6.952986673830516e-8	TRUE	8.283321308322515
fisher_odds_ratio	NA	D	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Surface	Detrimental,Lethal	1245	869	110	262	4	0.12072452133364261	0.032012632950733935	0.3226783937629808	-2.1142440121619086	-3.441624674376982	-1.1310991367273493	-0.9182045078789086	-1.4946786048639993	-0.4912301135662196	2.9076126090563977e-8	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	6.952986673830516e-8	TRUE	0.12072452133364261
fisher_odds_ratio	NA	F	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	8084	2048	96	5156	784	3.243483837391469	2.6036063171169364	4.077109805547754	1.1766480105820873	0.9568975290140184	1.4053883564025047	0.5110117381382395	0.41557531659764496	0.6103524081166883	4.242747202134875e-33	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	2.102031794027316e-32	TRUE	3.243483837391469
fisher_odds_ratio	NA	F	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Surface	Detrimental,Lethal	8084	5156	784	2048	96	0.3083104618780038	0.24527178508640993	0.384082644686212	-1.1766480105820833	-1.4053883564025014	-0.956897529014017	-0.5110117381382379	-0.610352408116687	-0.4155753165976444	4.242747202134887e-33	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	2.102031794027316e-32	TRUE	0.3083104618780038
